date,cashtype,money,coffee_name,time_order,category_time
2024-03-03,card,28.9,Cortado,11:33:56.118,Afternoon
2024-03-03,card,28.9,Americano,12:26:56.098,Afternoon
2024-03-03,card,38.7,Hot Chocolate,13:09:36.321,Afternoon
2024-03-03,card,38.7,Cocoa,17:06:40.271,Afternoon
2024-03-03,card,28.9,Cortado,17:08:45.895,Afternoon
2024-03-03,card,33.8,Americano with Milk,18:03:23.369,Afternoon
2024-03-03,card,33.8,Americano with Milk,18:04:27.946,Afternoon
2024-03-03,card,38.7,Hot Chocolate,18:08:04.959,Afternoon
2024-03-04,card,38.7,Latte,10:03:51.994,Morning
2024-03-04,card,38.7,Latte,10:54:50.958,Morning
2024-03-04,card,33.8,Americano with Milk,11:05:16.184,Afternoon
2024-03-04,card,24.0,Espresso,14:04:37.734,Afternoon
2024-03-05,card,38.7,Latte,09:59:52.651,Morning
2024-03-05,card,38.7,Latte,14:34:55.963,Afternoon
2024-03-05,card,38.7,Latte,17:34:06.043,Afternoon
2024-03-05,card,38.7,Hot Chocolate,17:35:25.021,Afternoon
2024-03-05,card,38.7,Cocoa,17:36:28.571,Afternoon
2024-03-05,card,38.7,Hot Chocolate,17:37:13.659,Afternoon
2024-03-05,card,38.7,Hot Chocolate,17:38:09.354,Afternoon
2024-03-05,card,28.9,Cortado,17:56:15.776,Afternoon
2024-03-05,card,38.7,Hot Chocolate,18:01:31.242,Afternoon
2024-03-06,cash,35.0,Americano with Milk,12:30:27.089,Afternoon
2024-03-06,card,28.9,Americano,13:24:07.667,Afternoon
2024-03-06,card,28.9,Cortado,13:25:14.351,Afternoon
2024-03-06,card,38.7,Cappuccino,14:52:01.761,Afternoon
2024-03-06,card,38.7,Cappuccino,14:53:18.344,Afternoon
2024-03-07,cash,40.0,Latte,10:08:58.945,Morning
2024-03-07,card,38.7,Hot Chocolate,10:18:40.543,Morning
2024-03-07,card,38.7,Latte,11:03:58.976,Afternoon
2024-03-07,cash,40.0,Latte,11:25:43.977,Afternoon
2024-03-07,card,28.9,Americano,15:40:22.606,Afternoon
2024-03-07,card,33.8,Americano with Milk,15:41:28.784,Afternoon
2024-03-08,card,28.9,Cortado,10:34:41.283,Morning
2024-03-08,card,38.7,Cappuccino,12:22:28.653,Afternoon
2024-03-08,card,28.9,Americano,13:53:02.042,Afternoon
2024-03-08,card,28.9,Americano,14:44:12.686,Afternoon
2024-03-08,card,28.9,Americano,14:45:11.048,Afternoon
2024-03-08,card,33.8,Americano with Milk,14:46:11.155,Afternoon
2024-03-08,card,38.7,Latte,18:57:51.451,Afternoon
2024-03-08,card,38.7,Latte,18:59:24.941,Afternoon
2024-03-09,cash,40.0,Hot Chocolate,11:49:37.292,Afternoon
2024-03-09,card,24.0,Espresso,12:05:15.559,Afternoon
2024-03-09,card,28.9,Americano,12:07:38.275,Afternoon
2024-03-09,card,38.7,Cappuccino,12:09:47.714,Afternoon
2024-03-09,card,28.9,Americano,12:13:03.521,Afternoon
2024-03-09,card,28.9,Americano,12:14:26.458,Afternoon
2024-03-09,card,38.7,Latte,13:09:22.229,Afternoon
2024-03-09,card,33.8,Americano with Milk,13:41:06.167,Afternoon
2024-03-09,card,28.9,Cortado,13:53:10.408,Afternoon
2024-03-09,card,38.7,Cappuccino,13:54:36.828,Afternoon
2024-03-09,card,33.8,Americano with Milk,14:08:01.829,Afternoon
2024-03-09,card,38.7,Hot Chocolate,14:26:52.873,Afternoon
2024-03-09,card,38.7,Cappuccino,19:17:57.572,Night
2024-03-09,card,38.7,Hot Chocolate,19:19:10.084,Night
2024-03-10,cash,30.0,Americano,07:44:18.538,Morning
2024-03-10,cash,35.0,Americano with Milk,07:45:29.441,Morning
2024-03-10,cash,40.0,Latte,10:06:02.96,Morning
2024-03-10,card,24.0,Espresso,11:19:20.764,Afternoon
2024-03-10,cash,35.0,Americano with Milk,17:51:03.048,Afternoon
2024-03-10,card,38.7,Latte,19:34:00.478,Night
2024-03-10,card,28.9,Cortado,19:35:54.712,Night
2024-03-11,cash,40.0,Latte,10:18:46.724,Morning
2024-03-11,cash,40.0,Cappuccino,11:24:15.022,Afternoon
2024-03-11,cash,30.0,Cortado,11:24:51.565,Afternoon
2024-03-11,cash,30.0,Americano,11:26:44.221,Afternoon
2024-03-11,card,38.7,Cappuccino,11:32:58.781,Afternoon
2024-03-11,card,28.9,Americano,16:24:26.401,Afternoon
2024-03-11,card,38.7,Latte,16:25:45.664,Afternoon
2024-03-11,card,28.9,Cortado,16:50:49.608,Afternoon
2024-03-12,cash,40.0,Latte,10:15:00.297,Morning
2024-03-12,card,28.9,Americano,10:15:34.543,Morning
2024-03-12,card,28.9,Cortado,10:16:24.886,Morning
2024-03-12,card,38.7,Hot Chocolate,11:20:45.632,Afternoon
2024-03-12,card,33.8,Americano with Milk,12:46:23.275,Afternoon
2024-03-12,card,28.9,Americano,12:47:26.027,Afternoon
2024-03-12,card,28.9,Americano,16:15:43.325,Afternoon
2024-03-13,card,38.7,Hot Chocolate,11:06:43.038,Afternoon
2024-03-13,card,28.9,Americano,11:48:16.753,Afternoon
2024-03-13,card,28.9,Americano,12:18:06.336,Afternoon
2024-03-13,card,28.9,Americano,12:19:05.128,Afternoon
2024-03-13,cash,25.0,Espresso,12:34:30.315,Afternoon
2024-03-13,card,33.8,Americano with Milk,14:26:40.875,Afternoon
2024-03-13,card,24.0,Espresso,15:40:22.261,Afternoon
2024-03-13,card,24.0,Espresso,15:41:20.424,Afternoon
2024-03-13,card,24.0,Espresso,16:47:09.373,Afternoon
2024-03-14,cash,40.0,Latte,10:02:12.241,Morning
2024-03-14,card,38.7,Latte,10:28:33.017,Morning
2024-03-14,card,38.7,Hot Chocolate,10:29:34.283,Morning
2024-03-14,card,28.9,Cortado,13:27:29.536,Afternoon
2024-03-14,card,28.9,Americano,13:28:24.527,Afternoon
2024-03-14,card,33.8,Americano with Milk,13:51:59.905,Afternoon
2024-03-14,card,24.0,Espresso,13:52:56.248,Afternoon
2024-03-14,card,38.7,Latte,15:20:38.367,Afternoon
2024-03-14,card,33.8,Americano with Milk,16:04:09.506,Afternoon
2024-03-14,card,24.0,Espresso,16:54:38.202,Afternoon
2024-03-14,card,38.7,Hot Chocolate,18:58:55.854,Afternoon
2024-03-14,card,28.9,Cortado,19:00:08.663,Night
2024-03-15,cash,40.0,Latte,10:02:16.533,Morning
2024-03-15,card,38.7,Hot Chocolate,10:53:02.18,Morning
2024-03-15,card,28.9,Americano,18:19:27.922,Afternoon
2025-03-20,card,26.0,Americano,10:55:17.442,Morning
2024-03-16,card,33.8,Americano with Milk,12:06:55.209,Afternoon
2024-03-16,card,28.9,Americano,12:07:53.915,Afternoon
2024-03-16,card,28.9,Cortado,15:58:18.458,Afternoon
2024-03-16,card,28.9,Cortado,16:03:21.738,Afternoon
2024-03-16,card,28.9,Cortado,16:04:11.444,Afternoon
2024-03-16,card,33.8,Americano with Milk,17:58:07.241,Afternoon
2024-03-17,card,28.9,Cortado,12:55:26.065,Afternoon
2024-03-18,card,28.9,Cortado,11:17:59.671,Afternoon
2024-03-18,card,28.9,Americano,15:31:39.725,Afternoon
2024-03-18,card,28.9,Americano,15:32:38.239,Afternoon
2024-03-18,card,28.9,Americano,15:33:36.708,Afternoon
2024-03-19,cash,30.0,Cortado,10:20:25.996,Morning
2024-03-19,card,38.7,Latte,14:02:21.536,Afternoon
2024-03-19,card,38.7,Latte,14:03:19.765,Afternoon
2024-03-19,card,38.7,Hot Chocolate,15:04:36.309,Afternoon
2024-03-19,card,33.8,Americano with Milk,16:53:48.706,Afternoon
2024-03-19,cash,40.0,Hot Chocolate,19:26:32.677,Night
2024-03-20,card,28.9,Cortado,11:41:16.403,Afternoon
2024-03-20,cash,40.0,Latte,12:21:07.728,Afternoon
2024-03-20,card,28.9,Cortado,12:30:48.968,Afternoon
2024-03-20,card,38.7,Cappuccino,13:16:47.394,Afternoon
2024-03-20,card,38.7,Cocoa,16:42:38.117,Afternoon
2024-03-20,card,38.7,Latte,17:50:28.781,Afternoon
2024-03-21,cash,40.0,Cappuccino,10:18:56.977,Morning
2024-03-21,card,28.9,Cortado,12:25:09.194,Afternoon
2024-03-21,card,38.7,Cappuccino,12:26:17.428,Afternoon
2024-03-21,cash,30.0,Americano,17:21:01.453,Afternoon
2024-03-21,card,28.9,Cortado,17:22:01.353,Afternoon
2024-03-21,card,38.7,Latte,19:20:36.508,Night
2024-03-22,card,33.8,Americano with Milk,10:35:53.619,Morning
2024-03-22,card,33.8,Americano with Milk,13:29:20.343,Afternoon
